Police_item,2019,2020
Administration and Information Technology ,60862599,93800640
Police Patrol ,272795730,202444391
Crime Investigation ,34715532,53498966
Target Violent Criminals ,43372016,52746294
SWAT/ESU ,9669092,10877390
Operational and Analytical Intelligence ,9596068,16293428
Emergency Communications,7915382,14064986
Police Internal Affairs ,9021658,12995906
Manage Police Records ,6822427,7483083
"Crowd, Traffic, and Special Events Management ",10188381,11610040
Recruitment and Training ,13703097,22622468
Special Operations - K-9 and Mounted Unit ,4422559,4509328
Marine Unit ,2077195,2765832
Special Operations - Aviation,7054321,7054321
Crime Laboratory and Evidence Control ,18093182,23609404
,510309239,536376477
